"date","tmin","tmax","rain","year","month","day","wy"
05/25/05,8.88888888888889,20,0,2005,5,25,2005
05/26/05,8.88888888888889,22.7777777777778,0,2005,5,26,2005
05/27/05,10,22.7777777777778,0,2005,5,27,2005
05/28/05,10,22.7777777777778,0,2005,5,28,2005
05/29/05,4.44444444444444,18.3333333333333,0,2005,5,29,2005
05/30/05,2.77777777777778,12.7777777777778,0,2005,5,30,2005
05/31/05,1.66666666666667,13.8888888888889,0,2005,5,31,2005
06/01/05,8.88888888888889,21.6666666666667,0,2005,6,1,2005
06/02/05,6.89509564509564,19.7475209763539,0,2005,6,2,2005
06/03/05,6.89509564509564,19.7475209763539,0,2005,6,3,2005
06/04/05,5,16.6666666666667,0,2005,6,4,2005
06/05/05,5.55555555555556,18.8888888888889,0,2005,6,5,2005
06/06/05,0.555555555555556,14.4444444444444,0,2005,6,6,2005
06/07/05,-1.11111111111111,9.44444444444444,0,2005,6,7,2005
06/08/05,1.66666666666667,11.6666666666667,0,2005,6,8,2005
06/09/05,1.66666666666667,12.7777777777778,0,2005,6,9,2005
06/10/05,4.44444444444444,10.5555555555556,0,2005,6,10,2005
06/11/05,5,15.5555555555556,0,2005,6,11,2005
06/12/05,6.89509564509564,19.7475209763539,0,2005,6,12,2005
06/13/05,6.11111111111111,18.8888888888889,0,2005,6,13,2005
06/14/05,10.5555555555556,24.4444444444444,0,2005,6,14,2005
06/15/05,10.5555555555556,23.3333333333333,0,2005,6,15,2005
06/16/05,8.88888888888889,21.1111111111111,0,2005,6,16,2005
06/17/05,6.11111111111111,17.7777777777778,0,2005,6,17,2005
06/18/05,6.89509564509564,19.7475209763539,0,2005,6,18,2005
06/19/05,1.11111111111111,11.1111111111111,0,2005,6,19,2005
06/20/05,6.89509564509564,19.7475209763539,0,2005,6,20,2005
06/21/05,6.66666666666667,21.6666666666667,0,2005,6,21,2005
06/22/05,11.1111111111111,22.7777777777778,0,2005,6,22,2005
06/23/05,9.44444444444444,23.8888888888889,0,2005,6,23,2005
06/24/05,8.33333333333333,21.1111111111111,0,2005,6,24,2005
06/25/05,6.66666666666667,21.1111111111111,0,2005,6,25,2005
06/26/05,6.66666666666667,17.7777777777778,0,2005,6,26,2005
06/27/05,7.22222222222222,18.8888888888889,0,2005,6,27,2005
06/28/05,7.77777777777778,20.5555555555556,0,2005,6,28,2005
06/29/05,10,18.8888888888889,0,2005,6,29,2005
06/30/05,12.2222222222222,24.4444444444444,0,2005,6,30,2005
07/01/05,12.7777777777778,26.1111111111111,0,2005,7,1,2005
07/02/05,12.7777777777778,26.1111111111111,0,2005,7,2,2005
07/03/05,12.2222222222222,25,0,2005,7,3,2005
07/04/05,11.6666666666667,25.5555555555556,0,2005,7,4,2005
07/05/05,12.7777777777778,23.8888888888889,0,2005,7,5,2005
07/06/05,11.6666666666667,22.7777777777778,0,2005,7,6,2005
07/07/05,11.6666666666667,23.3333333333333,0,2005,7,7,2005
07/08/05,12.2222222222222,23.8888888888889,0,2005,7,8,2005
07/09/05,10.5555555555556,22.7777777777778,0,2005,7,9,2005
07/10/05,9.44444444444444,21.6666666666667,0,2005,7,10,2005
07/11/05,9.44444444444444,20.5555555555556,0,2005,7,11,2005
07/12/05,14.4444444444444,26.6666666666667,0,2005,7,12,2005
07/13/05,15.5555555555556,28.3333333333333,0,2005,7,13,2005
07/14/05,16.1111111111111,29.4444444444444,0,2005,7,14,2005
07/15/05,15,30,0,2005,7,15,2005
07/16/05,16.1111111111111,31.1111111111111,0,2005,7,16,2005
07/17/05,16.1111111111111,29.4444444444444,0,2005,7,17,2005
07/18/05,15.5555555555556,30,0,2005,7,18,2005
07/19/05,16.1111111111111,29.4444444444444,0,2005,7,19,2005
07/20/05,16.1111111111111,29.4444444444444,0,2005,7,20,2005
07/21/05,17.2222222222222,30,0,2005,7,21,2005
07/22/05,15,27.7777777777778,0,2005,7,22,2005
07/23/05,15,27.2222222222222,0,2005,7,23,2005
07/24/05,15,27.7777777777778,0,2005,7,24,2005
07/25/05,13.3333333333333,26.6666666666667,0,2005,7,25,2005
07/26/05,12.7777777777778,27.2222222222222,0,2005,7,26,2005
07/27/05,15.5555555555556,28.3333333333333,0,2005,7,27,2005
07/28/05,15.5555555555556,28.8888888888889,0,2005,7,28,2005
07/29/05,14.4444444444444,27.2222222222222,0,2005,7,29,2005
07/30/05,14.4444444444444,27.2222222222222,0,2005,7,30,2005
07/31/05,14.4444444444444,26.6666666666667,0,2005,7,31,2005
08/01/05,13.3333333333333,26.1111111111111,0,2005,8,1,2005
08/02/05,12.7777777777778,26.6666666666667,0,2005,8,2,2005
08/03/05,12.2222222222222,26.1111111111111,0,2005,8,3,2005
08/04/05,12.2222222222222,25.5555555555556,0,2005,8,4,2005
08/05/05,12.2222222222222,27.2222222222222,0,2005,8,5,2005
08/06/05,15.5555555555556,27.2222222222222,0,2005,8,6,2005
08/07/05,15,27.2222222222222,0,2005,8,7,2005
08/08/05,14.4444444444444,27.2222222222222,0,2005,8,8,2005
08/09/05,15,26.1111111111111,0,2005,8,9,2005
